Gender,Invoice_id,Branch,City,Customer_type,Product_line,Unit_price,Quantity,Tax_five_percent
Female,750-67-8428,A,Yangon,Member,Health and beauty,74,7,261.415
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15,5,3.82
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68,6,20.652
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73,10,36.78
Female,665-32-9167,A,Yangon,Member,Health and beauty,36,2,3.626
Female,692-92-5582,B,Mandalay,Member,Food and beverages,54,3,8.226
Female,351-62-0822,B,Mandalay,Member,Fashion accessories,14,4,2.896
Female,365-64-0515,A,Yangon,Normal,Electronic accessories,46,5,11.7375
Female,829-34-3910,A,Yangon,Normal,Health and beauty,71,10,35.69
Female,299-46-1805,B,Mandalay,Member,Sports and travel,93,6,28.116
Female,656-95-9349,A,Yangon,Member,Health and beauty,68,7,241.255
Female,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40,2,4.03
Female,227-03-5010,A,Yangon,Member,Home and lifestyle,52,8,21.036
Female,189-17-4241,A,Yangon,Normal,Fashion accessories,87,2,8.767
Female,145-94-9061,B,Mandalay,Normal,Food and beverages,88,5,22.09
Female,183-56-6882,C,Naypyitaw,Member,Food and beverages,99,4,19.884
Female,232-16-2483,C,Naypyitaw,Member,Sports and travel,68,1,3.406
Female,272-65-1806,A,Yangon,Normal,Electronic accessories,60,9,27.396
Female,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54,8,21.968
Female,280-35-5823,B,Mandalay,Member,Home and lifestyle,86,1,4.336
Female,354-25-5821,B,Mandalay,Member,Sports and travel,69,6,20.736
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98,8,39.48
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93,4,18.792
Female,727-46-3608,B,Mandalay,Member,Food and beverages,20,9,9.1945
Female,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82,10,41.315
Female,162-48-8011,A,Yangon,Member,Food and beverages,44,5,11.1475
Female,616-24-2851,B,Mandalay,Member,Fashion accessories,17,4,3.574
Female,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85,8,34.392
Female,817-48-8732,A,Yangon,Member,Home and lifestyle,72,10,36.175
Female,285-68-5083,C,Naypyitaw,Member,Sports and travel,24,3,3.711
Female,347-34-2234,B,Mandalay,Member,Sports and travel,55,9,247.815
Female,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33,2,3.347
Female,109-28-2512,B,Mandalay,Member,Fashion accessories,97,6,29.283
Female,382-03-4532,A,Yangon,Member,Health and beauty,18,1,9.165
Female,510-95-6347,B,Mandalay,Member,Food and beverages,48,3,7.278
Female,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75,6,22.773
Female,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41,10,20.825
Female,381-20-0914,A,Yangon,Member,Fashion accessories,20,9,9.1945
Female,829-49-1914,C,Naypyitaw,Member,Food and beverages,78,10,39.155
Female,756-01-7507,C,Naypyitaw,Normal,Health and beauty,20,5,5.095
Female,870-72-4431,C,Naypyitaw,Normal,Health and beauty,99,6,29.757
Female,847-38-7188,B,Mandalay,Normal,Food and beverages,96,3,14.502
Female,787-56-0757,C,Naypyitaw,Member,Food and beverages,80,4,16.072
Female,730-50-9884,C,Naypyitaw,Normal,Sports and travel,83,7,29.071
Female,318-68-5053,B,Mandalay,Normal,Health and beauty,76,6,23.097
Female,565-80-5980,C,Naypyitaw,Member,Home and lifestyle,47,4,9.476
Female,225-32-0908,C,Naypyitaw,Normal,Sports and travel,44,10,22.43
Female,873-51-0671,A,Yangon,Member,Sports and travel,21,7,7.693
Female,871-39-9221,C,Naypyitaw,Normal,Electronic accessories,12,6,3.735
Female,551-21-3069,C,Naypyitaw,Normal,Electronic accessories,23,9,10.3815
Female,588-01-7461,C,Naypyitaw,Normal,Food and beverages,33,9,15.291
Female,479-26-8945,B,Mandalay,Member,Sports and travel,16,2,1.649
Female,210-67-5886,C,Naypyitaw,Member,Health and beauty,98,3,147.315
Female,227-78-1148,B,Mandalay,Normal,Fashion accessories,72,7,25.494
Female,237-01-6122,C,Naypyitaw,Member,Home and lifestyle,80,9,363.555
Female,225-98-1496,C,Naypyitaw,Normal,Fashion accessories,27,3,4.053
Female,642-32-2990,A,Yangon,Normal,Food and beverages,10,10,5.48
Female,638-60-7125,A,Yangon,Normal,Electronic accessories,99,8,39.824
Female,268-27-6179,B,Mandalay,Member,Fashion accessories,56,8,22.588
Female,668-90-8900,A,Yangon,Normal,Home and lifestyle,93,7,327.915
Female,870-54-3162,A,Yangon,Normal,Sports and travel,32,5,8.0625
Female,189-08-9157,C,Naypyitaw,Normal,Fashion accessories,31,9,142.785
Female,663-86-9076,C,Naypyitaw,Member,Food and beverages,68,8,27.416
Female,549-84-7482,B,Mandalay,Normal,Sports and travel,90,9,40.626
Female,191-10-6171,B,Mandalay,Normal,Fashion accessories,39,7,13.867
Female,802-70-5316,A,Yangon,Member,Sports and travel,92,6,27.639
Female,695-51-0018,B,Mandalay,Normal,Sports and travel,34,4,6.968
Female,483-71-1164,C,Naypyitaw,Normal,Health and beauty,81,6,24.39
Female,700-81-1757,A,Yangon,Normal,Electronic accessories,26,5,6.5775
Female,354-39-5160,A,Yangon,Member,Home and lifestyle,34,6,10.326
Female,731-81-9469,C,Naypyitaw,Member,Sports and travel,89,10,44.9
Female,338-65-2210,C,Naypyitaw,Member,Health and beauty,68,10,34.3
Female,488-25-4221,C,Naypyitaw,Member,Food and beverages,30,1,1.5205
Female,239-10-7476,A,Yangon,Normal,Home and lifestyle,77,6,23.385
Female,458-41-1477,C,Naypyitaw,Normal,Health and beauty,46,6,13.878
Female,685-64-1609,A,Yangon,Member,Fashion accessories,30,10,15.07
Female,608-96-3517,B,Mandalay,Member,Fashion accessories,91,4,18.308
Female,214-17-6927,C,Naypyitaw,Normal,Food and beverages,16,6,4.944
Female,400-89-4171,C,Naypyitaw,Normal,Sports and travel,80,8,32.388
Female,894-41-5205,C,Naypyitaw,Normal,Food and beverages,43,8,17.272
Female,139-52-2867,C,Naypyitaw,Normal,Fashion accessories,22,7,7.8785
Female,586-25-0848,A,Yangon,Normal,Sports and travel,12,7,4.319
Female,305-14-0245,B,Mandalay,Member,Home and lifestyle,94,8,37.796
Female,593-65-1552,C,Naypyitaw,Normal,Home and lifestyle,69,4,13.962
Female,284-34-9626,B,Mandalay,Normal,Home and lifestyle,77,3,11.556
Female,437-58-8131,B,Mandalay,Normal,Fashion accessories,73,2,7.352
Female,286-43-6208,C,Naypyitaw,Normal,Food and beverages,87,9,39.51
Female,556-86-3144,C,Naypyitaw,Member,Fashion accessories,74,1,3.7145
Female,856-22-8149,A,Yangon,Normal,Home and lifestyle,25,1,1.2645
Female,420-11-4919,C,Naypyitaw,Member,Food and beverages,71,5,178.475
Female,606-80-4905,C,Naypyitaw,Member,Sports and travel,19,6,5.745
Female,542-41-0513,B,Mandalay,Member,Electronic accessories,57,4,11.498
Female,749-24-1565,A,Yangon,Normal,Health and beauty,23,9,10.3635
Female,672-51-8681,C,Naypyitaw,Member,Electronic accessories,66,9,299.925
Female,263-87-5680,C,Naypyitaw,Member,Home and lifestyle,28,10,14.265
Female,573-58-9734,B,Mandalay,Normal,Fashion accessories,30,3,4.5555
Female,817-69-8206,B,Mandalay,Normal,Electronic accessories,99,9,448.785
Female,677-11-0152,C,Naypyitaw,Normal,Food and beverages,93,9,41.967
Female,891-58-8335,B,Mandalay,Member,Sports and travel,29,7,10.3635
Female,560-30-5617,B,Mandalay,Normal,Sports and travel,24,5,6.1925
Female,319-74-2561,A,Yangon,Member,Electronic accessories,94,3,14.196
Female,790-29-1172,B,Mandalay,Normal,Food and beverages,57,3,8.601
Female,279-62-1445,C,Naypyitaw,Member,Fashion accessories,12,1,627.0
Female,746-68-6593,C,Naypyitaw,Member,Sports and travel,87,2,8.716
Female,466-61-5506,B,Mandalay,Member,Electronic accessories,90,6,27.21
Female,721-86-6247,A,Yangon,Normal,Home and lifestyle,63,8,25.368
Female,289-65-5721,B,Mandalay,Normal,Fashion accessories,81,2,8.137
Female,545-46-3100,B,Mandalay,Member,Electronic accessories,10,3,1.5885
Female,418-02-5978,B,Mandalay,Normal,Health and beauty,84,9,378.405
Female,645-78-8093,A,Yangon,Normal,Sports and travel,93,2,9.314
Female,755-12-3214,C,Naypyitaw,Member,Fashion accessories,44,5,11.055
Female,346-84-3103,B,Mandalay,Member,Electronic accessories,13,5,3.305
Female,866-05-7563,B,Mandalay,Member,Electronic accessories,81,3,12.21
Female,883-17-4236,C,Naypyitaw,Normal,Sports and travel,14,2,1.439
Female,850-41-9669,A,Yangon,Normal,Electronic accessories,75,9,33.777
Female,821-07-3596,C,Naypyitaw,Normal,Fashion accessories,16,4,3.29
Female,655-85-5130,B,Mandalay,Member,Fashion accessories,38,4,7.66
Female,447-15-7839,A,Yangon,Member,Sports and travel,22,10,11.12
Female,253-12-6086,A,Yangon,Member,Sports and travel,98,7,34.44
Female,571-94-0759,B,Mandalay,Member,Food and beverages,74,10,37.3
Female,731-14-2199,A,Yangon,Member,Home and lifestyle,35,10,17.77
Female,783-09-1637,B,Mandalay,Normal,Sports and travel,67,5,168.575
Female,687-15-1097,C,Naypyitaw,Member,Health and beauty,21,2,2.112
Female,126-54-1082,A,Yangon,Member,Home and lifestyle,21,9,9.693
Female,633-91-1052,A,Yangon,Normal,Home and lifestyle,12,2,1.203
Female,477-24-6490,B,Mandalay,Normal,Health and beauty,99,6,29.913
Female,526-86-8552,C,Naypyitaw,Member,Home and lifestyle,21,10,10.91
Female,376-56-3573,C,Naypyitaw,Normal,Fashion accessories,95,4,19.084
Female,136-08-6195,A,Yangon,Normal,Home and lifestyle,69,8,27.984
Female,490-29-1201,A,Yangon,Normal,Sports and travel,15,1,767.0
Female,565-17-3836,A,Yangon,Member,Health and beauty,47,4,9.534
Female,226-71-3580,C,Naypyitaw,Normal,Sports and travel,23,9,10.6875
Female,283-79-9594,B,Mandalay,Normal,Food and beverages,48,7,169.785
Female,430-60-3493,A,Yangon,Member,Home and lifestyle,94,7,33.208
Female,278-97-7759,A,Yangon,Member,Electronic accessories,62,1,3.124
Female,316-68-6352,A,Yangon,Member,Food and beverages,36,2,3.636
Female,211-05-0490,C,Naypyitaw,Member,Electronic accessories,51,5,12.98
Female,779-06-0012,C,Naypyitaw,Member,Home and lifestyle,88,1,4.4305
Female,439-54-7422,A,Yangon,Normal,Electronic accessories,51,4,10.238
Female,396-90-2219,B,Mandalay,Normal,Electronic accessories,14,8,5.984
Female,286-01-5402,A,Yangon,Normal,Sports and travel,40,7,140.805
Female,803-17-8013,A,Yangon,Member,Home and lifestyle,88,8,35.516
Female,512-98-1403,A,Yangon,Member,Electronic accessories,26,3,3.972
Female,848-42-2560,A,Yangon,Normal,Fashion accessories,81,2,8.191
Female,870-76-1733,A,Yangon,Member,Food and beverages,14,5,3.5575
Female,423-64-4619,A,Yangon,Member,Health and beauty,15,9,6.9975
Female,227-07-4446,C,Naypyitaw,Member,Electronic accessories,78,10,39.065
Female,428-83-5800,C,Naypyitaw,Member,Food and beverages,21,3,3.162
Female,704-20-4138,C,Naypyitaw,Member,Health and beauty,29,7,10.3845
Female,649-11-3678,C,Naypyitaw,Normal,Food and beverages,22,9,10.3185
Female,622-20-1945,C,Naypyitaw,Normal,Health and beauty,39,1,1.971
Female,563-91-7120,A,Yangon,Normal,Fashion accessories,61,5,154.425
Female,527-09-6272,A,Yangon,Member,Electronic accessories,28,5,7.1125
Female,692-27-8933,B,Mandalay,Normal,Sports and travel,57,6,17.385
Female,633-09-3463,C,Naypyitaw,Normal,Electronic accessories,47,3,7.1475
Female,374-17-3652,B,Mandalay,Member,Food and beverages,42,9,19.269
Female,433-75-6987,B,Mandalay,Member,Health and beauty,55,7,195.895
Female,873-95-4984,B,Mandalay,Member,Health and beauty,76,7,26.915
Female,416-13-5917,C,Naypyitaw,Normal,Food and beverages,97,5,242.575
Female,135-84-8019,A,Yangon,Normal,Fashion accessories,77,9,350.685
Female,725-96-3778,C,Naypyitaw,Member,Home and lifestyle,89,8,35.7
Female,400-45-1220,B,Mandalay,Normal,Health and beauty,13,10,6.75
Female,860-79-0874,C,Naypyitaw,Member,Fashion accessories,99,10,49.65
Female,115-99-4379,B,Mandalay,Member,Fashion accessories,54,7,191.555
Female,320-49-6392,C,Naypyitaw,Normal,Electronic accessories,30,1,1.512
Female,889-04-9723,B,Mandalay,Member,Food and beverages,89,4,17.828
Female,632-90-0281,C,Naypyitaw,Normal,Fashion accessories,37,10,18.775
Female,554-42-2417,C,Naypyitaw,Normal,Sports and travel,95,10,47.72
Female,605-72-4132,C,Naypyitaw,Normal,Food and beverages,94,8,37.788
Female,272-27-9238,C,Naypyitaw,Normal,Food and beverages,41,4,8.248
Female,834-25-9262,C,Naypyitaw,Normal,Fashion accessories,81,4,16.336
Female,122-61-9553,C,Naypyitaw,Normal,Electronic accessories,51,9,23.094
Female,613-59-9758,C,Naypyitaw,Normal,Sports and travel,14,10,7.18
Female,201-86-2184,B,Mandalay,Member,Electronic accessories,26,7,9.191
Female,261-12-8671,B,Mandalay,Normal,Fashion accessories,60,2,6.096
Female,730-70-9830,C,Naypyitaw,Normal,Home and lifestyle,70,6,21.033
Female,422-29-8786,A,Yangon,Normal,Home and lifestyle,67,5,167.725
Female,667-23-5919,A,Yangon,Member,Fashion accessories,96,5,24.175
Female,843-01-4703,B,Mandalay,Member,Home and lifestyle,35,9,15.921
Female,182-69-8360,B,Mandalay,Normal,Electronic accessories,23,4,4.73
Female,462-78-5240,C,Naypyitaw,Normal,Electronic accessories,26,2,2.661
Female,868-52-7573,B,Mandalay,Normal,Food and beverages,99,5,249.225
Female,153-58-4872,C,Naypyitaw,Member,Food and beverages,74,4,14.978
Female,662-72-2873,A,Yangon,Normal,Food and beverages,40,5,10.235
Female,725-56-0833,A,Yangon,Normal,Health and beauty,32,10,16.16
Female,394-41-0748,C,Naypyitaw,Member,Fashion accessories,54,9,243.315
