gender,invoice_id,branch,city,customer_type,product_line,unit_price,quantity,tax_5%,calculated_tax
Female,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7,261.415,26.141499999999997
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5,3.82,3.82
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6,20.652,20.652
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,36.78,36.78
Female,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2,3.626,3.626
Female,692-92-5582,B,Mandalay,Member,Food and beverages,54.84,3,8.226,8.226
Female,351-62-0822,B,Mandalay,Member,Fashion accessories,14.48,4,2.896,2.8960000000000004
Female,365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5,11.7375,11.7375
Female,829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10,35.69,35.69
Female,299-46-1805,B,Mandalay,Member,Sports and travel,93.72,6,28.116,28.116
Female,656-95-9349,A,Yangon,Member,Health and beauty,68.93,7,241.255,24.125500000000002
Female,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2,4.03,4.03
Female,227-03-5010,A,Yangon,Member,Home and lifestyle,52.59,8,21.036,21.036
Female,189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2,8.767,8.767000000000001
Female,145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5,22.09,22.090000000000003
Female,183-56-6882,C,Naypyitaw,Member,Food and beverages,99.42,4,19.884,19.884
Female,232-16-2483,C,Naypyitaw,Member,Sports and travel,68.12,1,3.406,3.4060000000000006
Female,272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9,27.396,27.396000000000004
Female,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8,21.968,21.968000000000004
Female,280-35-5823,B,Mandalay,Member,Home and lifestyle,86.72,1,4.336,4.336
Female,354-25-5821,B,Mandalay,Member,Sports and travel,69.12,6,20.736,20.736000000000004
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8,39.48,39.480000000000004
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4,18.792,18.791999999999998
Female,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9,9.1945,9.0045
Female,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10,41.315,41.315
Female,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5,11.1475,11.1475
Female,616-24-2851,B,Mandalay,Member,Fashion accessories,17.87,4,3.574,3.5740000000000003
Female,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8,34.392,34.392
Female,817-48-8732,A,Yangon,Member,Home and lifestyle,72.35,10,36.175,36.175000000000004
Female,285-68-5083,C,Naypyitaw,Member,Sports and travel,24.74,3,3.711,3.7110000000000003
Female,347-34-2234,B,Mandalay,Member,Sports and travel,55.07,9,247.815,24.7815
Female,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2,3.347,3.347
Female,109-28-2512,B,Mandalay,Member,Fashion accessories,97.61,6,29.283,29.283
Female,382-03-4532,A,Yangon,Member,Health and beauty,18.33,1,9.165,0.9165
Female,510-95-6347,B,Mandalay,Member,Food and beverages,48.52,3,7.278,7.2780000000000005
Female,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6,22.773,22.773
Female,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10,20.825,20.825000000000003
Female,381-20-0914,A,Yangon,Member,Fashion accessories,20.01,9,9.1945,9.0045
Female,829-49-1914,C,Naypyitaw,Member,Food and beverages,78.31,10,39.155,39.155
Female,756-01-7507,C,Naypyitaw,Normal,Health and beauty,20.38,5,5.095,5.095
Female,870-72-4431,C,Naypyitaw,Normal,Health and beauty,99.19,6,29.757,29.757
Female,847-38-7188,B,Mandalay,Normal,Food and beverages,96.68,3,14.502,14.502000000000002
Female,787-56-0757,C,Naypyitaw,Member,Food and beverages,80.36,4,16.072,16.072
